date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:27:15	7131/7131	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Mar%202025%2011:11:24%20GMT	https://olympe-de-gouges-ein-vor-uavx5h6.gamma.site/robots.txt		(from )
12:27:15	345671/345671	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Mar%202025%2011:27:14%20GMT	https://olympe-de-gouges-ein-vor-uavx5h6.gamma.site/	C:/My%20Web%20Sites/Gamma/olympe-de-gouges-ein-vor-uavx5h6.gamma.site/index.html	(from )
12:27:16	40421/40421	---MCZ	200	added ('OK')	text/css	etag:W/%221e5a40db895bb27d46694a37ee53ed5c%22	https://assets.gammahosted.com/ftjr2j5y9/_next/static/css/aed3c8fa493ca0ec.css	C:/My%20Web%20Sites/Gamma/assets.gammahosted.com/ftjr2j5y9/_next/static/css/aed3c8fa493ca0ec.css	(from https://olympe-de-gouges-ein-vor-uavx5h6.gamma.site/)
12:27:16	2355/2355	---MCZ	200	added ('OK')	text/css	etag:W/%22a487778ff2c464586ab5f91fe2ec6af3%22	https://assets.gammahosted.com/ftjr2j5y9/_next/static/css/c5909dc245a8df8d.css	C:/My%20Web%20Sites/Gamma/assets.gammahosted.com/ftjr2j5y9/_next/static/css/c5909dc245a8df8d.css	(from https://olympe-de-gouges-ein-vor-uavx5h6.gamma.site/)
12:27:16	112594/112594	---MCZ	200	added ('OK')	application/javascript	etag:W/%22846118c33b2c0e922d7b3a7676f81f6f%22	https://assets.gammahosted.com/ftjr2j5y9/_next/static/chunks/polyfills-42372ed130431b0a.js	C:/My%20Web%20Sites/Gamma/assets.gammahosted.com/ftjr2j5y9/_next/static/chunks/polyfills-42372ed130431b0a.js	(from https://olympe-de-gouges-ein-vor-uavx5h6.gamma.site/)
12:27:16	7067/7067	---MCZ	200	added ('OK')	application/javascript	etag:W/%22597d6ee41f327da9b0b62309a0198a75%22	https://assets.gammahosted.com/ftjr2j5y9/_next/static/chunks/webpack-2bff189a08497a2c.js	C:/My%20Web%20Sites/Gamma/assets.gammahosted.com/ftjr2j5y9/_next/static/chunks/webpack-2bff189a08497a2c.js	(from https://olympe-de-gouges-ein-vor-uavx5h6.gamma.site/)
12:27:16	140068/140068	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ab8e85a6ca1234355eaf37acddb636b9%22	https://assets.gammahosted.com/ftjr2j5y9/_next/static/chunks/framework-89ee881bc4e530f4.js	C:/My%20Web%20Sites/Gamma/assets.gammahosted.com/ftjr2j5y9/_next/static/chunks/framework-89ee881bc4e530f4.js	(from https://olympe-de-gouges-ein-vor-uavx5h6.gamma.site/)
12:27:16	132266/132266	---MCZ	200	added ('OK')	application/javascript	etag:W/%227a5fa6b57c87c4deebd69d78a09daf6f%22	https://assets.gammahosted.com/ftjr2j5y9/_next/static/chunks/main-14b2affc53fb594b.js	C:/My%20Web%20Sites/Gamma/assets.gammahosted.com/ftjr2j5y9/_next/static/chunks/main-14b2affc53fb594b.js	(from https://olympe-de-gouges-ein-vor-uavx5h6.gamma.site/)
12:27:17	292/292	---M--	200	added ('OK')	application/javascript	etag:%222de66d7cc922f667aab1e28660439bbd%22	https://assets.gammahosted.com/ftjr2j5y9/_next/static/chunks/pages/_app-0cba0bcf78ff4771.js	C:/My%20Web%20Sites/Gamma/assets.gammahosted.com/ftjr2j5y9/_next/static/chunks/pages/_app-0cba0bcf78ff4771.js	(from https://olympe-de-gouges-ein-vor-uavx5h6.gamma.site/)
12:27:17	3400/3400	---MCZ	200	added ('OK')	application/javascript	etag:W/%220715ecbfffa6f70bad41cf0fe2410aca%22	https://assets.gammahosted.com/ftjr2j5y9/_next/static/chunks/5adc83ef-bcbc74c04583414c.js	C:/My%20Web%20Sites/Gamma/assets.gammahosted.com/ftjr2j5y9/_next/static/chunks/5adc83ef-bcbc74c04583414c.js	(from https://olympe-de-gouges-ein-vor-uavx5h6.gamma.site/)
